Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-6>;Receita Patrimonial;siconfi-cor_RREO3ReceitaPatrimonial;40712777,58
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-6>;Rendimentos de Aplicação Financeira;siconfi-cor_RendimentosDeAplicacaoFinanceira;22609508,43
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-6>;Outras Receitas Patrimoniais;siconfi-cor_OutrasReceitasPatrimoniais;18103269,15
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-6>;Receita Agropecuária;siconfi-cor_RREO3ReceitaAgropecuaria;68159,23
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-6>;Receita Industrial;siconfi-cor_RREO3ReceitaIndustrial;1258,2
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-6>;Receita de Serviços;siconfi-cor_RREO3ReceitaDeServicos;49699967,51
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-6>;Transferências Correntes;siconfi-cor_RREO3TransferenciasCorrentes;597350647
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-6>;Cota-Parte do FPE;siconfi-cor_RREO3CotaParteDoFPE;125006736,7
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-6>;Transferências da LC nº 61/1989;siconfi-cor_RREO3TransferenciasDaLC611989;31105499,71
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-6>;Transferências do FUNDEB;siconfi-cor_RREO3TransferenciasDoFUNDEB;257651688,1
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-6>;Outras Transferências Correntes;siconfi-cor_RREO3OutrasTransferenciasCorrentes;183586722,5
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-6>;Outras Receitas Correntes;siconfi-cor_RREO3OutrasReceitasCorrentes;48336415,84
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-6>;DEDUÇÕES (II);siconfi-cor_DeducoesDaReceitaCorrenteLiquida;1219696765
